timestamp	utc_time	latitude	longitude	ns_indicator	ew_indicator	ground_speed_knots	date
16046647103635872	121431.00	46.43396016666667	11.313219	N	E	0.290	091120
16046647113657086	121432.00	46.43394000000001	11.313210166666668	N	E	6.121	091120
16046647123627934	121433.00	46.433893	11.313190000000002	N	E	12.192	091120
16046647133645944	121434.00	46.43382116666667	11.313154999999998	N	E	17.899	091120
16046647143657072	121435.00	46.43372516666667	11.3131095	N	E	23.288	091120
16046647153639036	121436.00	46.43360683333334	11.313056333333334	N	E	28.192	091120
16046647163652096	121437.00	46.43348933333333	11.313006333333332	N	E	25.736	091120
16046647173646330	121438.00	46.43338866666666	11.312968166666666	N	E	21.177	091120
16046647183654192	121439.00	46.43330266666667	11.312980333333334	N	E	18.367	091120
16046647193648450	121440.00	46.43324500000001	11.313065833333335	N	E	18.661	091120
16046647203649316	121441.00	46.43323900000001	11.313189333333334	N	E	20.260	091120
16046647213645932	121442.00	46.433296999999996	11.313319166666668	N	E	24.206	091120
16046647223639212	121443.00	46.43340716666666	11.313429166666666	N	E	29.865	091120
16046647233648494	121444.00	46.43355633333334	11.313514666666666	N	E	35.137	091120
16046647243647190	121445.00	46.43372550000001	11.313578333333332	N	E	38.887	091120
16046647253638832	121446.00	46.4339145	11.313642166666668	N	E	42.946	091120
16046647263640266	121447.00	46.43410216666666	11.313715833333333	N	E	41.682	091120
16046647273630174	121448.00	46.434271	11.313778666666668	N	E	37.620	091120
16046647283654096	121449.00	46.43442366666666	11.313828166666669	N	E	33.209	091120
16046647293652220	121450.00	46.43454883333334	11.31379	N	E	27.357	091120
16046647303659200	121451.00	46.434631833333334	11.313696499999999	N	E	21.144	091120
16046647313655668	121452.00	46.434657333333334	11.313569500000002	N	E	19.077	091120
16046647323638974	121453.00	46.43462416666666	11.313461333333333	N	E	18.330	091120
16046647333647516	121454.00	46.43454133333333	11.313400666666666	N	E	22.049	091120
16046647343655416	121455.00	46.43444266666667	11.313361166666667	N	E	22.565	091120
16046647353655660	121456.00	46.434341499999995	11.313327833333336	N	E	22.736	091120
16046647363637584	121457.00	46.434246833333326	11.3132985	N	E	20.482	091120
16046647373641388	121458.00	46.434163166666664	11.313272333333336	N	E	17.798	091120
16046647383656432	121459.00	46.43409066666667	11.313247833333334	N	E	15.553	091120
16046647393650232	121500.00	46.434032499999994	11.313227999999999	N	E	12.043	091120
16046647403659180	121501.00	46.43399483333333	11.313214333333333	N	E	7.156	091120
16046647413656426	121502.00	46.43398083333333	11.313207666666665	N	E	1.683	091120
16046647423644304	121503.00	46.433979	11.313206333333333	N	E	0.075	091120
16046647433652074	121504.00	46.43397950000001	11.313206666666668	N	E	0.073	091120
16046647443650104	121505.00	46.43397933333333	11.313207333333333	N	E	0.029	091120
16046647453662910	121506.00	46.43397933333333	11.313208166666668	N	E	0.019	091120
16046647463645716	121507.00	46.43397916666667	11.313208833333332	N	E	0.041	091120
16046647473654050	121508.00	46.43397916666667	11.313208999999999	N	E	0.020	091120
16046647483635176	121509.00	46.43397916666667	11.313210166666668	N	E	0.074	091120
16046647493641902	121510.00	46.43397916666667	11.313210333333332	N	E	0.059	091120
16046647503640194	121511.00	46.43397933333333	11.313210166666668	N	E	0.019	091120