timestamp	ground_speed_knots	ground_speed_human
16046647583665836	0.141	0.262
16046647593668346	0.139	0.257
16046647603675258	0.020	0.037
16046647613673800	0.105	0.194
16046647623680148	0.182	0.337
16046647633673818	0.339	0.627
16046647643695962	6.087	11.272
16046647653690770	11.788	21.831
16046647663673760	17.368	32.166
16046647673682716	22.484	41.641
16046647683681142	27.545	51.014
16046647693691736	26.634	49.326
16046647703691676	22.729	42.094
16046647713687150	19.899	36.852
16046647723685340	21.204	39.271
16046647733698988	22.055	40.845
16046647743661438	26.125	48.384
16046647753672788	31.660	58.635
16046647763668880	37.294	69.069
16046647773671092	40.927	75.796
16046647783663280	45.336	83.963
16046647793674558	43.968	81.429
16046647803666808	40.266	74.572
16046647813706158	30.884	57.197
16046647823690772	25.289	46.835
16046647833702930	20.852	38.618
16046647843698770	21.257	39.369
16046647853705570	23.066	42.717
16046647863693514	25.623	47.454
16046647873702604	24.868	46.055
16046647883689460	22.674	41.993
16046647893694168	20.618	38.185
16046647903682110	18.761	34.745
16046647913682310	14.061	26.042
16046647923699170	6.571	12.169
16046647933686414	0.183	0.339